,edades,genero,salarios,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaños_empresa,lenguaje_programacion
0,45-59,Hombre,bajo,Belgica,Grado Universitario,Data Analyst,20+ years,Energía/Minería,Grande,"Python, SQL"
1,18-29,No binario,No sabe/No contesta,Estados Unidos,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Fabricación,Mediana, R
2,30-44,Mujes,bajo,Egipto,Grado Universitario,Data Analyst,3-5 years,ONG/Servicio,Startup,Python
3,18-29,Hombre,No sabe/No contesta,China,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Tecnológico,Startup,"Python, SQL, C, C++, Java, Javascript, MATLAB"
4,30-44,Hombre,medio,Sudafrica,Master,Data Analyst,1-3 years,Fabricación,Mediana," R, SQL"
5,30-44,Hombre,alto,Otros,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, SQL, Other"
6,30-44,Prefiero no decirlo,No sabe/No contesta,China,Prefiero no responder,Data Analyst,< 1 years,Tecnológico,Startup,Python
7,30-44,Hombre,bajo,Otros,Master,Business Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Grande,Python
8,18-29,Hombre,medio,China,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Grande,Python
9,30-44,Hombre,medio,India,Master,Business Analyst,1-3 years,Tecnológico,Multinacional,Python
10,30-44,Hombre,alto,Estados Unidos,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
11,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Mediana,Python
12,30-44,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Tecnológico,Multinacional," SQL, C++"
13,30-44,Hombre,alto,Israel,Grado Universitario,Data Analyst,< 1 years,Fabricación,Mediana,"Python, SQL"
14,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Fabricación,Grande," R, SQL, C++"
15,30-44,Hombre,No sabe/No contesta,Colombia,Prefiero no responder,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña, SQL
16,60-70+,Mujes,alto,Estados Unidos,Master,Data Analyst,20+ years,Gobierno/servicio público,Grande,"Python, SQL"
17,45-59,Hombre,alto,Austria,Master,Business Analyst,5-10 years,Seguro/Evaluación de Riesgos,Mediana,"Python, SQL, Javascript"
18,18-29,Hombre,bajo,Brasil,Grado Universitario,Data Analyst,3-5 years,Negocios en línea/ventas basadas en Internet,Grande,"Python, SQL, C, Javascript"
19,30-44,Hombre,alto,Estados Unidos,Master,Business Analyst,I have never written code,Contabilidad/Finanzas,Grande,No sabe/No contesta
20,30-44,Hombre,alto,Japon,Grado Universitario,Business Analyst,I have never written code,Fabricación,Multinacional,No sabe/No contesta
21,30-44,Hombre,medio,Rusia,Grado Universitario,Business Analyst,1-3 years,Envío/Transporte,Startup,Python
22,30-44,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
23,18-29,Hombre,No sabe/No contesta,Ucrania,Doctorado,Data Analyst,3-5 years,Otros,Startup,"Python, SQL, C++, Other"
24,45-59,Mujes,No sabe/No contesta,Brasil,Master,Business Analyst,1-3 years,Tecnológico,Multinacional, SQL
25,18-29,Mujes,bajo,Pakistan,Master,Data Analyst,< 1 years,Tecnológico,Grande, SQL
26,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,< 1 years,Energía/Minería,Multinacional,"Python, R, SQL"
27,30-44,Mujes,No sabe/No contesta,Otros,Master,Data Analyst,10-20 years,Tecnológico,Startup,"Python, R, SQL"
28,18-29,Mujes,No sabe/No contesta,Pakistan,Doctorado,Data Analyst,3-5 years,Académico/Educación,Pequeña,Python
29,18-29,Mujes,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Mediana,"Python, SQL"
30,30-44,Hombre,No sabe/No contesta,Canada,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, SQL"
31,30-44,Hombre,bajo,Nigeria,Master,Data Analyst,1-3 years,Fabricación,Grande,"Python, R, SQL"
32,18-29,Hombre,bajo,India,Grado Universitario,Business Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Grande,"Python, R, SQL, C, C++"
33,45-59,Hombre,bajo,Otros,Master,Business Analyst,< 1 years,Gobierno/servicio público,Grande,Python
34,30-44,Hombre,medio,Mexico,Master,Business Analyst,20+ years,Otros,Startup,"Python, R"
35,30-44,Mujes,bajo,Tunez,Doctorado,Data Analyst,3-5 years,Académico/Educación,Startup, C++
36,18-29,Hombre,medio,China,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Pequeña,Python
37,18-29,Mujes,bajo,Italia,Master,Data Analyst,1-3 years,Académico/Educación,Mediana,"Python, R, Other"
38,18-29,Hombre,bajo,Polonia,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Pequeña, None
39,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Business Analyst,5-10 years,Ventas al por menor,Multinacional,"Python, R, SQL"
40,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,3-5 years,Médico/farmacéutico,Multinacional,"Python, SQL, Other"
41,45-59,Hombre,alto,España,Grado Universitario,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Pequeña, R
42,18-29,Hombre,bajo,Colombia,Grado Universitario,Data Analyst,1-3 years,Radio/Comunicaciones,Multinacional,"Python, SQL, Java, Javascript"
43,18-29,Hombre,bajo,India,Grado Universitario,Business Analyst,3-5 years,Gobierno/servicio público,Multinacional,"Python, R, MATLAB"
44,30-44,Mujes,medio,Estados Unidos,Grado Universitario,Data Analyst,< 1 years,Fabricación,Startup," R, SQL"
45,30-44,Mujes,bajo,Italia,Grado Universitario,Business Analyst,< 1 years,Contabilidad/Finanzas,Startup,"Python, R, SQL, C++, MATLAB"
46,30-44,Hombre,bajo,Indonesia,Master,Data Analyst,5-10 years,Académico/Educación,Pequeña,"Python, SQL, C++"
47,18-29,Hombre,bajo,Sri Lanka,Grado Universitario,Data Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Startup,"Python, SQL, Javascript, Other"
48,18-29,Hombre,alto,Estados Unidos,Master,Data Analyst,< 1 years,Tecnológico,Grande,"Python, SQL"
49,30-44,Hombre,alto,Estados Unidos,Master,Data Analyst,10-20 years,Tecnológico,Pequeña,"Python, R, SQL, MATLAB"
50,30-44,Mujes,medio,Reino Unido,Grado Universitario,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Pequeña,"Python, SQL"
51,18-29,Hombre,No sabe/No contesta,China,Master,Business Analyst,5-10 years,Académico/Educación,Startup,Python
52,18-29,Mujes,bajo,India,Master,Data Analyst,< 1 years,Ventas al por menor,Pequeña,"Python, R, SQL"
53,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,I have never written code,Otros,Multinacional,No sabe/No contesta
54,18-29,Mujes,No sabe/No contesta,Turquia,Master,Data Analyst,1-3 years,Gobierno/servicio público,Startup,"Python, SQL, MATLAB"
55,30-44,Hombre,medio,China,Grado Universitario,Data Analyst,< 1 years,Fabricación,Multinacional,Python
56,18-29,Hombre,bajo,India,Master,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL"
57,60-70+,Hombre,alto,Italia,Grado Universitario,Business Analyst,5-10 years,Gobierno/servicio público,Grande,"Python, R, C, C++"
58,18-29,Hombre,No sabe/No contesta,Estados Unidos,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Envío/Transporte,Mediana,"Python, R, SQL"
59,30-44,Hombre,No sabe/No contesta,Japon,Estudios Univertarios sin licenciatura,Business Analyst,< 1 years,Ventas al por menor,Grande,Python
60,18-29,Hombre,medio,Pakistan,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, Javascript"
61,30-44,Hombre,No sabe/No contesta,Otros,Grado Universitario,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R"
62,18-29,Hombre,No sabe/No contesta,Ucrania,Grado Universitario,Data Analyst,< 1 years,,No sabe/No contesta,Python
63,30-44,Hombre,No sabe/No contesta,Kenia,Grado Universitario,Data Analyst,1-3 years,,No sabe/No contesta,"Python, R, SQL"
64,18-29,Hombre,bajo,India,Master,Business Analyst,1-3 years,Tecnológico,Grande,"Python, SQL, Java, Javascript"
65,18-29,Hombre,No sabe/No contesta,Rusia,Master,Business Analyst,< 1 years,Tecnológico,Multinacional,Python
66,30-44,Hombre,No sabe/No contesta,Iran,Doctorado,Data Analyst,3-5 years,Médico/farmacéutico,Grande,"Python, SQL, Java, Javascript"
67,18-29,Hombre,alto,Otros,Master,Business Analyst,< 1 years,Otros,Startup,"Python, SQL"
68,45-59,Hombre,No sabe/No contesta,Estados Unidos,Estudios Univertarios sin licenciatura,Data Analyst,10-20 years,Académico/Educación,Pequeña,"Python, SQL, Javascript, Bash"
69,45-59,Hombre,No sabe/No contesta,Polonia,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Pequeña, SQL
70,30-44,Mujes,alto,Otros,Grado Universitario,Data Analyst,1-3 years,Radio/Comunicaciones,Grande," C, C++, MATLAB"
71,18-29,Mujes,No sabe/No contesta,China,Prefiero no responder,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, Java"
72,18-29,Hombre,No sabe/No contesta,Corea del Sur,Grado Universitario,Data Analyst,1-3 years,,No sabe/No contesta,"Python, R"
73,30-44,Hombre,No sabe/No contesta,Otros,Doctorado,Data Analyst,< 1 years,,No sabe/No contesta,Python
74,30-44,Hombre,medio,Rusia,Master,Data Analyst,3-5 years,Académico/Educación,Mediana,Python
75,30-44,Hombre,No sabe/No contesta,China,Master,Business Analyst,1-3 years,Marketing/CRM,Startup," SQL, Java"
76,18-29,Hombre,No sabe/No contesta,Peru,Grado Universitario,Data Analyst,1-3 years,Fabricación,Pequeña,"Python, R, SQL"
77,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
78,30-44,Hombre,alto,Reino Unido,Estudios Univertarios sin licenciatura,Business Analyst,1-3 years,Envío/Transporte,Mediana,"Python, SQL"
79,45-59,Hombre,medio,Egipto,Grado Universitario,Data Analyst,3-5 years,Energía/Minería,Grande,"Python, R, SQL, Other"
80,18-29,Hombre,bajo,Vietnam,Master,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Mediana, SQL
81,30-44,Mujes,bajo,Emiratos Arabes,Master,Business Analyst,5-10 years,Energía/Minería,Pequeña,"Python, SQL, C++, Javascript, Bash"
82,18-29,Mujes,No sabe/No contesta,Otros,Master,Data Analyst,3-5 years,Académico/Educación,Startup,"Python, C++, Java, MATLAB"
83,30-44,Hombre,bajo,Belgica,Grado Universitario,Data Analyst,20+ years,Académico/Educación,Grande,"Python, R, SQL, Other"
84,18-29,Mujes,bajo,India,Master,Data Analyst,< 1 years,Tecnológico,Pequeña,"Python, SQL"
85,18-29,Mujes,No sabe/No contesta,Indonesia,Estudios Univertarios sin licenciatura,Data Analyst,20+ years,,No sabe/No contesta, R
86,30-44,Hombre,medio,Alemania,Master,Data Analyst,1-3 years,Radio/Comunicaciones,Pequeña," R, SQL"
87,30-44,Hombre,No sabe/No contesta,Iran,Master,Business Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, Javascript, Other"
88,18-29,Hombre,bajo,Colombia,Grado Universitario,Business Analyst,1-3 years,Tecnológico,Startup,"Python, SQL, Javascript, Bash"
89,30-44,Hombre,medio,Francia,Master,Data Analyst,1-3 years,Marketing/CRM,Startup,"Python, R, SQL, Javascript"
